"sample","StromalScore","ImmuneScore","ESTIMATEScore"
"TCGA.HT.7874.01A.11R.2403.07",-1101.42234678119,-1460.69385374835,-2562.11620052954
"TCGA.HT.7875.01A.11R.2403.07",-1241.14526468092,-1525.52866517235,-2766.67392985327
"TCGA.HT.7877.01A.11R.2403.07",-1126.38278969627,-1300.66433138151,-2427.04712107778
"TCGA.HT.8010.01A.11R.2403.07",-837.527330103947,-1049.64531253281,-1887.17264263675
"TCGA.HT.8105.01A.11R.2404.07",-1152.76156855402,-1138.11798956935,-2290.87955812336
"TCGA.HT.8109.01A.11R.2404.07",-965.327269066099,-1013.43848053229,-1978.76574959839
"TCGA.HT.A4DV.01A.11R.A26U.07",-1089.99232281785,-988.662507890609,-2078.65483070846
"TCGA.HT.A5R9.01A.11R.A28M.07",-1138.71923227307,-1455.2587266019,-2593.97795887497
"TCGA.HT.A619.01A.11R.A29R.07",-1384.66109855303,-1453.51308898707,-2838.17418754009
"TCGA.HT.A74K.01A.11R.A32Q.07",-571.455094159038,-654.422240218497,-1225.87733437754
"TCGA.HW.7486.01A.11R.2027.07",-828.042624429199,-690.256642065737,-1518.29926649494
"TCGA.HW.7487.01A.11R.2027.07",-1346.05205521893,-1474.38069745383,-2820.43275267277
"TCGA.HW.7491.01A.11R.2027.07",-1159.90961886116,-1256.27019983291,-2416.17981869407
"TCGA.HW.7495.01A.11R.2027.07",-1146.78956447814,-1408.6963044223,-2555.48586890044
"TCGA.HW.8322.01A.11R.2404.07",-1178.46871900905,-1047.99211137076,-2226.4608303798
"TCGA.HW.A5KJ.01A.12R.A27Q.07",-1390.81665525478,-1366.58225048844,-2757.39890574321
"TCGA.IK.8125.01A.11R.2256.07",-1046.77026855091,-1130.23854916052,-2177.00881771143
"TCGA.P5.A5ET.01A.11R.A27Q.07",-1359.2356897081,-1512.32129996869,-2871.55698967679
"TCGA.P5.A5EX.01A.12R.A28M.07",38.8925901025378,414.533744961962,453.4263350645
"TCGA.P5.A5F0.01A.11R.A28M.07",-1590.34399598132,-1741.43805325266,-3331.78204923397
"TCGA.P5.A737.01A.11R.A32Q.07",-1230.39731160655,-1037.50568261589,-2267.90299422244
"TCGA.P5.A77W.01A.11R.A32Q.07",-1418.53575405797,-1442.3602624218,-2860.89601647978
"TCGA.P5.A77X.01A.11R.A32Q.07",-1412.0130879589,-1619.03444102645,-3031.04752898536
"TCGA.QH.A65R.01A.21R.A31N.07",-1222.53038430419,-1330.27152912155,-2552.80191342573
"TCGA.QH.A65X.01A.11R.A32Q.07",-918.302779153282,-847.809326264465,-1766.11210541775
"TCGA.QH.A65Z.01A.11R.A29R.07",-1406.07164139073,-1286.53424902254,-2692.60589041327
"TCGA.QH.A6CU.01A.11R.A31N.07",-792.121194350485,-501.094223026712,-1293.2154173772
"TCGA.QH.A6CY.01A.11R.A32Q.07",-1243.37959334856,-1306.33501804937,-2549.71461139793
"TCGA.QH.A6CZ.01A.11R.A32Q.07",-1332.28705904455,-1465.82776709996,-2798.11482614452
"TCGA.QH.A6X5.01A.12R.A32Q.07",-1168.78889167367,-1099.36724771691,-2268.15613939057
"TCGA.QH.A6X8.01A.12R.A32Q.07",-1225.64542052335,-988.198815560299,-2213.84423608365
"TCGA.QH.A86X.01A.11R.A36H.07",-1263.97065644497,-1286.27558291953,-2550.2462393645
"TCGA.R8.A6MK.01A.11R.A32Q.07",-1275.63151144032,-1072.97301004489,-2348.6045214852
"TCGA.R8.A6ML.01A.11R.A32Q.07",-1417.89698335091,-1399.91347508615,-2817.81045843706
"TCGA.R8.A6MO.01A.11R.A33Z.07",-1112.53641578853,-716.055083180124,-1828.59149896865
"TCGA.RY.A83X.01A.11R.A36H.07",-1332.87338733744,-1273.06902754543,-2605.94241488287
"TCGA.RY.A847.01A.11R.A36H.07",-814.585317453689,-475.300019957902,-1289.88533741159
"TCGA.S9.A6TW.01A.12R.A32Q.07",-747.92355808274,-1030.77697669069,-1778.70053477343
"TCGA.S9.A6U2.01A.21R.A33Z.07",-804.113690524959,-835.705249018414,-1639.81893954337
"TCGA.S9.A6UB.01A.21R.A33Z.07",-1549.23686963457,-1522.60001890153,-3071.8368885361
"TCGA.S9.A6WE.01A.12R.A33Z.07",-1157.81158738133,-973.116768530953,-2130.92835591228
"TCGA.S9.A6WL.01A.21R.A33Z.07",-651.485039988131,-1347.10032453775,-1998.58536452588
"TCGA.S9.A6WN.01A.12R.A33Z.07",-180.621433008264,327.597407202841,146.975974194577
"TCGA.S9.A6WP.01A.12R.A34F.07",-987.978018137512,-533.742334709255,-1521.72035284677
"TCGA.S9.A7IQ.01A.21R.A34F.07",-1324.74065142713,-1771.11340549628,-3095.85405692341
"TCGA.S9.A7IY.01A.11R.A34F.07",-847.008065930188,-291.579631249558,-1138.58769717975
"TCGA.S9.A7J2.01A.11R.A34F.07",-1353.31388499626,-1337.55952185149,-2690.87340684776
"TCGA.S9.A7QY.01A.11R.A34F.07",-1374.59254549504,-1347.12402096661,-2721.71656646165
"TCGA.S9.A7QZ.01A.12R.A34R.07",-1388.31740957087,-1629.60491642825,-3017.92232599912
"TCGA.S9.A7R1.01A.12R.A34R.07",-1295.76231029418,-1460.40234324371,-2756.16465353789
"TCGA.TM.A84G.01A.11R.A36H.07",-1467.75367144262,-1629.03109519724,-3096.78476663987
"TCGA.TM.A84M.01A.11R.A36H.07",-1536.97872030301,-1529.54637064179,-3066.5250909448
"TCGA.TM.A84R.01A.21R.A36H.07",-1187.54404354311,-1708.89577436269,-2896.43981790579
"TCGA.TM.A84S.01A.11R.A36H.07",-1025.80229957116,-819.874576057356,-1845.67687562852
"TCGA.TQ.A7RS.01A.12R.A33Z.07",-1433.11998863274,-1387.12365256982,-2820.24364120255
"TCGA.VM.A8CB.01A.11R.A36H.07",-1556.41650527856,-1392.31382784041,-2948.73033311897
"TCGA.VM.A8CE.01A.11R.A36H.07",-949.095651809254,-1057.70028047546,-2006.79593228472
"TCGA.VV.A829.01A.21R.A36H.07",-869.346006557279,-699.620898043368,-1568.96690460065
"TCGA.VW.A7QS.01A.12R.A33Z.07",-1251.10874823346,-1341.92265516471,-2593.03140339817
"TCGA.W9.A837.01A.11R.A36H.07",-1334.51185077529,-1457.21159916693,-2791.72344994222
